,date,offense,latitude,longitude
118,1/13/2021,Assault Offenses,Not Available,Not Available
119,1/13/2021,Assault Offenses,Not Available,Not Available
120,1/13/2021,Kidnapping/Abduction,Not Available,Not Available
121,1/13/2021,Larceny Offenses,Not Available,Not Available
122,1/8/2021,Sex Offenses,Not Available,Not Available
123,1/8/2021,Pornography/Obscene Material,Not Available,Not Available
124,1/13/2021,Larceny Offenses,Not Available,Not Available
125,1/13/2021,Assault Offenses,Not Available,Not Available
126,1/14/2021,Assault Offenses,Not Available,Not Available
127,1/14/2021,Assault Offenses,Not Available,Not Available
128,1/14/2021,Assault Offenses,Not Available,Not Available
129,1/13/2021,Kidnapping/Abduction,Not Available,Not Available
130,1/3/2021,Sex Offenses,Not Available,Not Available
131,1/14/2021,Assault Offenses,Not Available,Not Available
132,1/1/2021,Sex Offenses,Not Available,Not Available
133,1/1/2021,Burglary,Not Available,Not Available
134,1/13/2021,Assault Offenses,Not Available,Not Available
135,1/14/2021,Assault Offenses,Not Available,Not Available
136,1/14/2021,Assault Offenses,Not Available,Not Available
137,1/14/2021,Assault Offenses,Not Available,Not Available
138,1/14/2021,Burglary,Not Available,Not Available
139,1/14/2021,Assault Offenses,Not Available,Not Available
140,1/14/2021,Assault Offenses,Not Available,Not Available
141,1/15/2021,Kidnapping/Abduction,Not Available,Not Available
142,1/15/2021,Sex Offenses,Not Available,Not Available
143,1/15/2021,Assault Offenses,Not Available,Not Available
144,1/15/2021,Assault Offenses,Not Available,Not Available
145,1/15/2021,Assault Offenses,Not Available,Not Available
146,1/15/2021,Assault Offenses,Not Available,Not Available
147,1/15/2021,Assault Offenses,Not Available,Not Available
148,1/1/2021,Sex Offenses,Not Available,Not Available
149,1/1/2021,Sex Offenses,Not Available,Not Available
150,1/13/2021,Assault Offenses,Not Available,Not Available
151,1/15/2021,Assault Offenses,Not Available,Not Available
152,1/15/2021,Assault Offenses,Not Available,Not Available
153,1/15/2021,Assault Offenses,Not Available,Not Available
154,1/6/2021,Assault Offenses,Not Available,Not Available
155,1/16/2021,Assault Offenses,Not Available,Not Available
156,1/16/2021,Assault Offenses,Not Available,Not Available
157,1/16/2021,Assault Offenses,Not Available,Not Available
158,1/16/2021,Assault Offenses,Not Available,Not Available
159,1/16/2021,Assault Offenses,Not Available,Not Available
160,1/16/2021,Assault Offenses,Not Available,Not Available
161,1/17/2021,Assault Offenses,Not Available,Not Available
162,1/17/2021,Animal Cruelty Offenses,Not Available,Not Available
163,1/2/2021,Assault Offenses,Not Available,Not Available
164,1/17/2021,Assault Offenses,Not Available,Not Available
165,1/16/2021,Assault Offenses,Not Available,Not Available
166,1/17/2021,Assault Offenses,Not Available,Not Available
167,1/17/2021,Kidnapping/Abduction,Not Available,Not Available
168,1/17/2021,Sex Offenses,Not Available,Not Available
169,1/17/2021,Robbery,Not Available,Not Available
170,1/16/2021,Assault Offenses,Not Available,Not Available
171,1/17/2021,Assault Offenses,Not Available,Not Available
172,1/17/2021,Kidnapping/Abduction,Not Available,Not Available
173,1/17/2021,Assault Offenses,Not Available,Not Available
174,1/17/2021,Assault Offenses,Not Available,Not Available
175,1/17/2021,Assault Offenses,Not Available,Not Available
176,1/16/2021,Assault Offenses,Not Available,Not Available
177,1/14/2021,Assault Offenses,Not Available,Not Available
178,1/17/2021,Assault Offenses,Not Available,Not Available
179,1/17/2021,Kidnapping/Abduction,Not Available,Not Available
180,1/17/2021,Homicide Offenses,Not Available,Not Available
181,1/18/2021,Assault Offenses,Not Available,Not Available
182,1/17/2021,Assault Offenses,Not Available,Not Available
183,1/18/2021,Assault Offenses,Not Available,Not Available
184,1/18/2021,Assault Offenses,Not Available,Not Available
185,1/18/2021,Arson,Not Available,Not Available
186,1/17/2021,Sex Offenses,Not Available,Not Available
187,1/17/2021,Homicide Offenses,Not Available,Not Available
188,1/18/2021,Assault Offenses,Not Available,Not Available
189,1/17/2021,Assault Offenses,Not Available,Not Available
190,1/18/2021,Assault Offenses,Not Available,Not Available
191,1/18/2021,Assault Offenses,Not Available,Not Available
192,1/18/2021,Assault Offenses,Not Available,Not Available
193,1/18/2021,Assault Offenses,Not Available,Not Available
194,1/18/2021,Assault Offenses,Not Available,Not Available
195,1/19/2021,Assault Offenses,Not Available,Not Available
196,1/16/2021,Assault Offenses,Not Available,Not Available
197,1/15/2021,Assault Offenses,Not Available,Not Available
198,1/15/2021,Vandalism,Not Available,Not Available
199,1/16/2021,Sex Offenses,Not Available,Not Available
200,1/19/2021,Assault Offenses,Not Available,Not Available
201,1/19/2021,Burglary,Not Available,Not Available
202,1/19/2021,Assault Offenses,Not Available,Not Available
203,1/19/2021,Vandalism,Not Available,Not Available
204,1/19/2021,Assault Offenses,Not Available,Not Available
205,1/19/2021,Assault Offenses,Not Available,Not Available
206,1/17/2021,Arson,Not Available,Not Available
207,1/16/2021,Kidnapping/Abduction,Not Available,Not Available
208,1/20/2021,Assault Offenses,Not Available,Not Available
209,1/16/2021,Sex Offenses,Not Available,Not Available
210,1/20/2021,Assault Offenses,Not Available,Not Available
211,1/20/2021,Assault Offenses,Not Available,Not Available
212,1/20/2021,Assault Offenses,Not Available,Not Available
213,1/14/2021,Sex Offenses,Not Available,Not Available
214,1/14/2021,Sex Offenses,Not Available,Not Available
215,1/15/2021,Sex Offenses,Not Available,Not Available
216,1/20/2021,Assault Offenses,Not Available,Not Available
217,1/16/2021,Sex Offenses,Not Available,Not Available
218,1/21/2021,Assault Offenses,Not Available,Not Available
219,1/21/2021,Assault Offenses,Not Available,Not Available
220,1/21/2021,Assault Offenses,Not Available,Not Available
221,1/21/2021,Assault Offenses,Not Available,Not Available
222,1/21/2021,Assault Offenses,Not Available,Not Available
223,1/21/2021,Assault Offenses,Not Available,Not Available
224,1/20/2021,Sex Offenses,Not Available,Not Available
225,1/22/2021,Assault Offenses,Not Available,Not Available
226,1/21/2021,Sex Offenses,Not Available,Not Available
227,1/13/2021,Sex Offenses,Not Available,Not Available
228,1/22/2021,Assault Offenses,Not Available,Not Available
229,1/22/2021,Assault Offenses,Not Available,Not Available
230,1/23/2021,Motor Vehicle Theft,Not Available,Not Available
231,1/23/2021,Assault Offenses,Not Available,Not Available
232,1/23/2021,Assault Offenses,Not Available,Not Available
233,1/23/2021,Assault Offenses,Not Available,Not Available
234,1/23/2021,Larceny Offenses,Not Available,Not Available
235,1/24/2021,Assault Offenses,Not Available,Not Available
236,1/24/2021,Assault Offenses,Not Available,Not Available
237,1/24/2021,Assault Offenses,Not Available,Not Available
238,1/24/2021,Assault Offenses,Not Available,Not Available
239,1/24/2021,Assault Offenses,Not Available,Not Available
240,1/23/2021,Assault Offenses,Not Available,Not Available
241,1/24/2021,Assault Offenses,Not Available,Not Available
242,1/24/2021,Assault Offenses,Not Available,Not Available
243,1/24/2021,Assault Offenses,Not Available,Not Available
244,1/24/2021,Assault Offenses,Not Available,Not Available
245,1/22/2021,Assault Offenses,Not Available,Not Available
246,1/24/2021,Assault Offenses,Not Available,Not Available
247,1/24/2021,Assault Offenses,Not Available,Not Available
248,1/24/2021,Assault Offenses,Not Available,Not Available
249,1/18/2021,Assault Offenses,Not Available,Not Available
250,1/7/2021,Sex Offenses,Not Available,Not Available
251,1/19/2021,Assault Offenses,Not Available,Not Available
252,1/12/2021,Sex Offenses,Not Available,Not Available
253,1/16/2021,Assault Offenses,Not Available,Not Available
254,1/16/2021,Pornography/Obscene Material,Not Available,Not Available
255,1/25/2021,Assault Offenses,Not Available,Not Available
256,1/25/2021,Assault Offenses,Not Available,Not Available
257,1/25/2021,Burglary,Not Available,Not Available
258,1/25/2021,Assault Offenses,Not Available,Not Available
259,1/25/2021,Assault Offenses,Not Available,Not Available
260,1/25/2021,Homicide Offenses,Not Available,Not Available
261,1/3/2021,Kidnapping/Abduction,Not Available,Not Available
262,1/4/2021,Assault Offenses,Not Available,Not Available
263,1/6/2021,Robbery,Not Available,Not Available
264,1/19/2021,Sex Offenses,Not Available,Not Available
265,1/25/2021,Assault Offenses,Not Available,Not Available
266,1/25/2021,Assault Offenses,Not Available,Not Available
267,1/25/2021,Assault Offenses,Not Available,Not Available
268,1/25/2021,Assault Offenses,Not Available,Not Available
269,1/25/2021,Assault Offenses,Not Available,Not Available
270,1/6/2021,Sex Offenses,Not Available,Not Available
271,1/26/2021,Assault Offenses,Not Available,Not Available
272,1/25/2021,Vandalism,Not Available,Not Available
273,1/1/2021,Assault Offenses,Not Available,Not Available
274,1/25/2021,Assault Offenses,Not Available,Not Available
