latitude,longitude
42.94898345,-87.91065415552595
43.082178,-87.916309
43.126604914572866,-87.95352032663317
42.952106962273724,-87.93119460497357
43.045824397265385,-87.92194542573058
43.181832626611026,-88.02853890337799
43.07617734615384,-87.94753788461539
43.10443856479828,-87.94848191241167
42.98589666806009,-88.00396342953967
42.995128328990496,-87.90636138757782
43.04654851004082,-87.95658162241281
Nan,Nan
43.081746134369304,-87.916042278295
43.00357972374905,-87.90422046141866
43.05245086767407,-87.96070365273778
43.00297533403404,-87.9077320692343
43.012055727272724,-87.93660952525254
43.04815067366769,-87.96368524772808
50.6539404,-99.9625073
42.96051891508856,-87.93876631347388
43.11288105,-88.02708701436822
Nan,Nan
43.0151052439597,-87.92411719948959
43.12699068440797,-87.98808087010829
42.98773394275417,-87.97401647944073
42.99775920800715,-87.95308644251988
43.0436294,-87.9159438
43.04630405557379,-87.9389237173877
43.016084,-87.94389630669731
43.063789120239086,-87.95640554672481
43.0540099,-87.9164304
43.10201458998233,-87.9704709210187
43.0021837754003,-87.92836740281295
43.06628981632653,-87.98376265306122
43.02237003018796,-87.942349
43.10261967619022,-87.97546825630543
43.1559492,-87.9851488
43.071878697900345,-87.96882860617336
43.081205,-87.95859
43.117346,-87.988445
43.00969048574431,-87.93679245697552
43.0439694,-87.9137879
43.117346,-87.988445
43.13878774542132,-88.03902283439751
43.01881663621689,-87.936923
43.10112612503593,-87.94277946518434
43.14424507104487,-87.98066555834795
42.971635854453616,-87.91212757657358
43.049649200000005,-87.89419323359125
43.1494372,-88.02465261155527
43.0602719,-87.8863519
43.184039638292674,-88.002988418857
43.07688443444206,-87.94403456587044
43.07646102370723,-87.97861474524206
43.114753,-88.021444
43.05718213963742,-87.97034640029158
43.09195359558102,-87.96215547164431
Nan,Nan
43.06070622276659,-87.96916957291496
43.03863654166666,-87.95008360416666
Nan,Nan
42.98909755734989,-87.92138689122916
43.049416,-87.8956789
43.0916556471701,-88.04187288125686
43.017946454530076,-87.95651508621431
42.97383199061669,-87.97836626268546
43.112659666203356,-87.9476085403971
43.0754497,-87.9574882
43.01380728682861,-87.91269713997431
43.00274985037986,-87.91734954841957
49.9069473,20.2168237
43.08789954646457,-87.91467296918901
43.06159395,-87.97547796232692
26.673956,-80.128403
43.09592748852485,-88.04193447637232
43.01180866666667,-87.93294703030303
43.07833064130249,-87.88764274109774
43.09009291836735,-88.00342775510204
43.0999068,-87.9580187
43.110907,-88.004565
43.009996151507806,-87.9228880711784
43.02120743723007,-87.94413754952303
43.075368437316115,-87.92143529215544
43.079422815060866,-87.96989439231369
43.022275496449154,-87.9229007979627
43.05421322332372,-87.96045397038453
42.97952899040392,-88.00929453840736
43.041733287776346,-87.94817687556375
42.94395131449435,-87.93279739510379
43.02002698387035,-87.94251924186867
43.00572903364258,-87.94507173372428
43.04444833535268,-87.9278298367223
43.0716444,-87.91517506486014
43.050676,-87.902282
43.112246673326496,-87.9649050281242
43.0488246,-87.88486794787181
43.078146636363634,-87.98493693939393
43.1227145,-88.041094
43.094089099225144,-87.94108739519598
43.10508235487778,-88.00676889638878
42.97726455,-87.90999292709982
43.026402,-87.91981
43.01315407594532,-87.93940995038929
43.124654925432644,-87.94657246734037
43.01177481818182,-87.93662831313132
43.09711663609207,-88.02292738880203
43.0555891,-87.9191017
43.09497379033562,-87.93806830822888
43.022664909045936,-87.93830628642102
43.09272238641943,-87.96077038375626
43.00809256473256,-87.93306531474131
43.06695910162188,-87.94235915129013
43.066083,-87.9552042
42.98581649850404,-87.98770963238113
Nan,Nan
43.023131,-87.918407
43.126795,-87.989322
42.94213560122346,-87.93228770076121
43.0097773832407,-87.9392873052525
43.073121,-87.930893
26.673956,-80.128403
43.07823529779528,-87.9749319146937
43.02364071428571,-87.943737
43.0459729,-87.9576752
43.07328298833296,-87.99010469678693
43.1227145,-88.041094
43.041571,-87.9493218580282
43.084861,-87.947003
43.11960630247204,-88.0246327553327
15.4774276,-87.9804905
43.0404021,-87.9143694
43.173869331985564,-88.0429809799184
43.00838,-87.9203303265306
Nan,Nan
43.04579121111595,-87.94670729171153
42.98620587532994,-87.9192411887912
43.137652305340055,-87.97961902731883
46.4968015,14.2335495
42.989624562566696,-87.97420738578444
43.04023683440653,-87.96012607358585
43.0374681,-87.97664807492464
43.005760133540335,-87.95657021190769
43.06687389414471,-87.98873031889241
43.065341542701674,-87.96351341131553
43.0433233,-87.9238157
43.0967049409198,-87.97351559004657
42.98552176763965,-87.95527222439061
43.08837098076338,-87.91465985732188
43.08808066703117,-87.91608520369358
42.993888,-87.956941
43.07055596905693,-87.92687787460679
Nan,Nan
42.96585763747726,-87.90952484619031
43.12590520360667,-87.9970604592536
43.078777005513025,-87.97588308658685
43.104910950346216,-88.01085962709278
43.1261425,-88.01271760813432
43.08801506998796,-87.94014007116567
43.156934066666665,-88.0052202
43.0968828219022,-88.03854526249464
43.121848299999996,-88.03939770859509
43.1001534000279,-88.02108179929161
43.0775787656648,-87.8899312088651
42.9836374,-87.95056650232979
43.002508764662316,-87.92972296569222
43.05740545,-87.88865789198354
43.12075275906926,-88.03319604132065
43.053074920069385,-87.94261802421235
43.09723119842667,-88.01245216519956
Nan,Nan
43.06317768958788,-87.92674498264782
15.4813239,-87.9811152
43.076974891100946,-87.93121562680814
43.086453,-87.927283
43.06666906773637,-87.97737689489158
43.0650919927242,-87.97635164695006
43.009320278170456,-87.94224463111757
43.13136217646363,-87.96130462704527
43.11418213597691,-87.97517720734454
42.981600656565654,-87.94859285858585
43.024299,-87.939638
43.012627800000004,-87.92027317482174
