,date,offense,latitude,longitude
1648,2019-01-10T19:00:00.000,CRIMINAL MISCHIEF,"{'latitude': '32.91598655004403', 'longitude': '-97.32989473882428', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
1649,2019-01-10T19:06:41.000,ASSAULT,"{'latitude': '32.76824999896642', 'longitude': '-97.38322993879984', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
1650,2019-01-10T19:10:20.000,ASSAULT C,"{'latitude': '32.72668788926544', 'longitude': '-97.42006500668127', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",21
1651,2019-01-10T19:26:00.000,AUTO THEFT,,20
1652,2019-01-10T19:26:00.000,THEFT,"{'latitude': '32.73863275842664', 'longitude': '-97.43398965468528', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24
1653,2019-01-10T19:30:00.000,THEFT,"{'latitude': '32.668741763678206', 'longitude': '-97.3114108686551', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",23
1654,2019-01-10T19:38:00.000,ASSAULT,,20
1655,2019-01-10T19:38:00.000,ASSAULT,,15
1656,2019-01-10T19:39:31.000,AUTO THEFT,"{'latitude': '32.727928037351006', 'longitude': '-97.26917718594663', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
1657,2019-01-10T20:00:00.000,BURGLARY VEHICLE,"{'latitude': '32.72446720153075', 'longitude': '-97.33414512107835', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
1658,2019-01-10T20:00:00.000,BURGLARY VEHICLE,"{'latitude': '32.82801257523199', 'longitude': '-97.05416867908113', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
1659,2019-01-10T20:16:26.000,ASSAULT,"{'latitude': '32.74679032325046', 'longitude': '-97.33750336634856', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10
1660,2019-01-10T20:21:09.000,THEFT,"{'latitude': '32.71233524591616', 'longitude': '-97.28403168426583', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8
1661,2019-01-10T20:38:00.000,THEFT,"{'latitude': '32.788976222373165', 'longitude': '-97.22415551221705', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5
1662,2019-01-10T20:40:00.000,THEFT,"{'latitude': '32.669485138722564', 'longitude': '-97.3834316089304', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",23
1663,2019-01-10T20:50:00.000,THEFT,"{'latitude': '32.89468882736999', 'longitude': '-97.28948145564851', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12
1664,2019-01-10T21:00:00.000,AUTO THEFT,"{'latitude': '32.716710523888544', 'longitude': '-97.38166907915034', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
1665,2019-01-10T21:01:00.000,AUTO THEFT,"{'latitude': '32.795706259700715', 'longitude': '-97.33262526215155', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
1666,2019-01-10T21:01:00.000,AUTO THEFT,"{'latitude': '32.795706259700715', 'longitude': '-97.33262526215155', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
1667,2019-01-10T21:07:00.000,NARCOTIC VIOLATIONS,"{'latitude': '32.727434171867465', 'longitude': '-97.40620846889017', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13
1668,2019-01-10T21:17:00.000,NARCOTIC VIOLATIONS,"{'latitude': '32.696674250665275', 'longitude': '-97.34780297236678', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13
1669,2019-01-10T21:30:00.000,CRIMINAL MISCHIEF,"{'latitude': '32.88341482303375', 'longitude': '-97.30089016093643', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
1670,2019-01-10T21:51:46.000,DWI,"{'latitude': '32.75957917115622', 'longitude': '-97.49981552803287', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13
1671,2019-01-10T22:00:00.000,BURGLARY VEHICLE,"{'latitude': '32.81980918262177', 'longitude': '-97.37897353719569', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18
1672,2019-01-10T22:21:15.000,NARCOTIC VIOLATIONS,"{'latitude': '32.68650354461422', 'longitude': '-97.33724655519465', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13
1673,2019-01-10T22:21:15.000,NARCOTIC VIOLATIONS,"{'latitude': '32.68650354461422', 'longitude': '-97.33724655519465', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13
1674,2019-01-10T22:24:00.000,NARCOTIC VIOLATIONS,"{'latitude': '32.69858950759067', 'longitude': '-97.34390126474725', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13
1675,2019-01-10T22:24:44.000,AG ASSAULT,,20
1676,2019-01-10T22:24:44.000,AG ASSAULT,,20
1677,2019-01-10T22:24:44.000,AG ASSAULT,,20
1678,2019-01-10T22:24:44.000,AG ASSAULT,,20
1679,2019-01-10T22:24:44.000,AG ASSAULT,,20
1680,2019-01-10T22:30:00.000,THEFT,"{'latitude': '32.810602934380675', 'longitude': '-97.34280386093373', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13
1681,2019-01-10T22:35:00.000,NARCOTIC VIOLATIONS,"{'latitude': '32.82940433071945', 'longitude': '-97.30884195341515', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
1682,2019-01-10T22:39:20.000,THEFT,"{'latitude': '32.68869212247841', 'longitude': '-97.31472266236075', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13
1683,2019-01-10T22:52:30.000,NARCOTIC VIOLATIONS,"{'latitude': '32.7385027345036', 'longitude': '-97.45184373047584', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",15
1684,2019-01-10T23:00:00.000,THEFT,"{'latitude': '32.694734859318224', 'longitude': '-97.30294567966709', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
1685,2019-01-10T23:17:15.000,ASSAULT C,"{'latitude': '32.77596939424513', 'longitude': '-97.38685146142227', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
1686,2019-01-10T23:36:11.000,CRIMINAL MISCHIEF,"{'latitude': '32.75014970298163', 'longitude': '-97.36027349425711', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18
1687,2019-01-10T23:48:00.000,AUTO THEFT,,3
1688,2019-01-10T23:48:00.000,AUTO THEFT,,3
