ReportedDateTime,Location,ZIP,RoughX,RoughY,Arson,AssaultOffense,Burglary,CriminalDamage,Homicide,LockedVehicle,Robbery,SexOffense,Theft,VehicleTheft
2022-09-22 03:05:00,5153 N 67TH ST,53218,2535410.453191971406,411397.575409520417,0,0,1,0,0,0,0,0,0,0
2022-09-22 03:00:00,2904 W WISCONSIN AV,53208,2547835.319836595096,385439.260394513607,0,1,0,0,0,0,0,0,0,0
2022-09-22 02:40:00,4364 N 17TH ST,53209,2552362.283652350307,406439.059792071581,0,1,0,0,0,0,0,0,0,0
2022-09-22 01:06:00,416 E NORTH AV,53212,2559522.326557602268,393438.968548405915,1,0,0,0,0,0,0,0,0,0
2022-09-21 23:50:00,640 N 89TH ST,53226,2528365.074604883790,384294.761804793030,0,0,0,0,0,1,0,0,0,0
2022-09-21 23:00:00,216 S 76TH ST,53214,2532889.261087228544,381880.003380242735,0,0,0,1,0,0,0,0,0,0
2022-09-21 23:00:00,1931 N WARREN AV,53202,2562926.193100766279,392183.420665618032,0,0,0,0,0,0,0,0,0,1
2022-09-21 22:40:00,5766 N 68TH ST,53218,2535086.191455584951,415764.247716762125,0,0,0,0,0,0,1,0,0,0
2022-09-21 22:00:00,"",53216,2544130.793352393899,400947.615582685918,0,0,0,0,0,0,0,1,0,0
2022-09-21 21:55:00,1958 N 20TH ST,53205,2551244.404224193189,391788.669504635036,0,1,0,0,0,0,0,0,0,0
2022-09-21 21:50:00,1350 E LOCUST ST,53212,2562608.121327021159,397480.897559765726,0,1,0,0,0,0,0,0,0,0
2022-09-21 21:45:00,1 W UNKNOWN WA,"","","",0,1,0,0,0,0,0,0,0,0
2022-09-21 21:00:00,120 E NATIONAL AV,53204,2558861.392895408906,379920.737792871892,0,1,0,0,0,0,0,0,0,0
2022-09-21 20:30:00,6010 S 27TH ST,53221,2549147.905097942799,347810.604303058237,0,0,0,0,0,0,0,0,0,1
2022-09-21 20:30:00,2474 W KEEFE AV,53206,2549092.786596223246,401297.164062093943,0,1,0,0,0,0,0,0,0,0
2022-09-21 19:55:00,6929 W SILVER SPRING DR,53218,2534401.488149596378,414074.240164309740,0,1,0,0,0,0,0,0,0,0
2022-09-21 19:40:00,2755 N 39TH ST,53210,2544508.752735454589,396317.647123344243,0,1,0,0,0,0,0,0,0,0
2022-09-21 19:18:02,4120 N 84TH ST,"","","",0,1,0,0,0,0,0,0,0,0
2022-09-21 19:00:00,8124 N JOSEPH AV,53224,2522552.256318411324,430981.766514241695,0,1,0,1,0,0,0,0,0,0
2022-09-21 18:00:00,627 E CAPITOL DR,53212,2560193.371728686616,404019.397695329040,0,1,0,0,0,0,0,0,0,0
2022-09-21 17:52:00,1721 W CANAL ST,53204,2552155.203803276177,382085.291903901845,0,0,0,0,0,0,0,0,0,1
2022-09-21 17:38:00,1501 W ZELLMAN CT,53221,2553690.440844083205,344066.477244351059,0,0,0,0,0,0,0,0,1,0
2022-09-21 16:40:00,1636 W FOREST HOME AV,53204,2552473.226720938459,374586.343164417893,0,0,0,0,0,0,0,0,0,1
2022-09-21 16:00:00,7737 N 81ST ST,53223,2530360.604277809616,428452.320070937276,0,1,0,0,0,0,0,0,0,0
2022-09-21 15:00:00,1422 S 36TH ST,53215,2545889.102781758644,377104.908274482936,0,0,0,1,0,0,0,0,0,0
2022-09-21 15:00:00,2174 N 40TH ST,53208,2544312.721235472709,392700.432519644499,0,0,0,0,0,0,0,0,0,1
2022-09-21 14:37:00,1307 W WRIGHT ST,53206,2553705.109499979764,394661.900088921189,0,1,0,0,0,0,0,0,0,0
2022-09-21 13:39:05,1023 S CESAR E CHAVEZ DR,53204,2552605.130413620267,379019.004372451454,0,1,0,0,0,0,0,0,0,0
2022-09-21 13:29:16,4217 N 46TH WA,53216,2541588.242962582037,405465.537902660668,0,1,0,0,0,0,0,0,0,0
2022-09-21 13:20:00,305 N 35TH ST,53208,2545880.477070095018,383424.832794155926,0,0,0,0,0,0,0,0,0,1
2022-09-21 13:15:00,2340 N 51ST ST,53210,2540468.606301333755,393441.677856620401,0,1,0,0,0,0,0,0,0,0
2022-09-21 13:00:00,132 N JEFFERSON ST,53202,2560308.403061418794,382767.659312859178,0,0,0,0,0,0,0,0,0,1
2022-09-21 12:00:00,621 N JAMES LOVELL ST,53233,2555957.795518704224,385152.929014395922,0,0,0,0,0,1,0,0,0,0
2022-09-21 12:00:00,1721 W CANAL ST,53204,2552155.203803276177,382085.291903901845,0,0,0,0,0,0,0,0,0,1
2022-09-21 11:55:00,200 W HADLEY ST,53212,2557686.207271827385,396722.454959940165,0,1,0,0,0,0,0,0,0,0
2022-09-21 11:55:00,1950 N 20TH ST,53205,2551244.404224193189,391788.669504635036,0,1,0,1,0,0,0,0,0,0
